,issue_date,from_git_hash,to_git_hash,message
439,2021-06-13,16d358e6,f2530df9,Automated update
440,2021-06-14,f2530df9,4ce2e1e9,Automated update
441,2021-06-15,4ce2e1e9,f41c5e79,Automated update
442,2021-06-16,f41c5e79,271fb530,Automated update for delayed data for US
443,2021-06-17,271fb530,f4e562a5,Automated update
444,2021-06-18,f4e562a5,532f387d,Automated update
445,2021-06-19,532f387d,833a9b43,Automated update
446,2021-06-20,833a9b43,d6b18deb,Automated update
447,2021-06-21,d6b18deb,aec2c8e0,Automated update
448,2021-06-22,aec2c8e0,9492e57f,Automated update
449,2021-06-23,9492e57f,ef83ca35,Automated update for delayed data for US
450,2021-06-24,ef83ca35,efdc9b00,Automated update
451,2021-06-25,efdc9b00,e9a00edf,Automated update
452,2021-06-26,e9a00edf,7bc272a7,Automated update
453,2021-06-27,7bc272a7,bb34d32c,Automated update for delayed data for US
454,2021-06-28,bb34d32c,e505b2c6,Automated update
455,2021-06-29,e505b2c6,70a72cf8,Automated update for delayed data for US
456,2021-06-30,70a72cf8,23389e2c,Automated update
457,2021-07-01,23389e2c,fb6900cd,Automated update for delayed data for US
458,2021-07-02,fb6900cd,763b4060,Automated update for delayed data for US
459,2021-07-03,763b4060,344a8b99,Automated update
460,2021-07-04,344a8b99,8c74ef99,Automated update for delayed data for US
461,2021-07-05,8c74ef99,09e0f80e,Automated update
462,2021-07-06,09e0f80e,9845beaf,Automated update
463,2021-07-07,9845beaf,05e3446a,Automated update for delayed data for US
464,2021-07-08,05e3446a,478eb30f,Automated update
465,2021-07-09,478eb30f,d388423e,Automated update
466,2021-07-10,d388423e,745bab58,Automated update for delayed data for US
467,2021-07-11,745bab58,5a247a2a,Automated update
468,2021-07-12,5a247a2a,c4110401,Automated update
469,2021-07-13,c4110401,d2c980e8,Automated update
470,2021-07-14,d2c980e8,e3e57f31,Automated update
471,2021-07-15,e3e57f31,d00647c3,patch hawaii data for 07-14-2021
472,2021-07-16,d00647c3,48a89b69,Automated update
473,2021-07-17,48a89b69,5692913e,Automated update for delayed data for US
474,2021-07-18,5692913e,f035e8bb,Automated update for delayed data for US
